timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742164846965,175,DELETE Request delete,404,Not Found,Thread Group 100 1-49,text,false,,273,182,86,86,http://localhost:8080/character/4,175,0,0
1742164846973,170,DELETE Request delete,404,Not Found,Thread Group 100 1-53,text,false,,273,182,86,86,http://localhost:8080/character/8,170,0,0
1742164846970,173,DELETE Request delete,404,Not Found,Thread Group 100 1-54,text,false,,273,182,86,86,http://localhost:8080/character/9,173,0,0
1742164846975,170,DELETE Request delete,404,Not Found,Thread Group 100 1-60,text,false,,273,182,86,86,http://localhost:8080/character/9,170,0,0
1742164846977,168,DELETE Request delete,404,Not Found,Thread Group 100 1-61,text,false,,273,183,86,86,http://localhost:8080/character/10,168,0,0
1742164846978,169,DELETE Request delete,404,Not Found,Thread Group 100 1-56,text,false,,273,182,86,86,http://localhost:8080/character/3,169,0,0
1742164846979,169,DELETE Request delete,404,Not Found,Thread Group 100 1-44,text,false,,273,182,86,86,http://localhost:8080/character/6,169,0,0
1742164846980,170,DELETE Request delete,404,Not Found,Thread Group 100 1-58,text,false,,273,182,86,86,http://localhost:8080/character/3,170,0,0
1742164846982,178,DELETE Request delete,404,Not Found,Thread Group 100 1-43,text,false,,273,182,86,86,http://localhost:8080/character/6,178,0,0
1742164846985,175,DELETE Request delete,404,Not Found,Thread Group 100 1-52,text,false,,273,182,86,86,http://localhost:8080/character/8,175,0,0
1742164846993,172,DELETE Request delete,404,Not Found,Thread Group 100 1-39,text,false,,273,182,86,86,http://localhost:8080/character/1,172,0,0
1742164846994,175,DELETE Request delete,404,Not Found,Thread Group 100 1-41,text,false,,273,182,86,86,http://localhost:8080/character/3,175,0,0
1742164847003,168,DELETE Request delete,404,Not Found,Thread Group 100 1-40,text,false,,273,182,86,86,http://localhost:8080/character/8,168,0,0
1742164847010,163,DELETE Request delete,404,Not Found,Thread Group 100 1-38,text,false,,273,182,86,86,http://localhost:8080/character/6,163,0,0
1742164847010,165,DELETE Request delete,404,Not Found,Thread Group 100 1-35,text,false,,273,182,86,86,http://localhost:8080/character/7,165,0,0
1742164847009,168,DELETE Request delete,404,Not Found,Thread Group 100 1-42,text,false,,273,182,86,86,http://localhost:8080/character/8,168,0,0
1742164847011,168,DELETE Request delete,404,Not Found,Thread Group 100 1-36,text,false,,273,182,86,86,http://localhost:8080/character/3,168,0,0
1742164847009,172,DELETE Request delete,404,Not Found,Thread Group 100 1-34,text,false,,273,183,86,86,http://localhost:8080/character/10,172,0,0
1742164847016,165,DELETE Request delete,200,OK,Thread Group 100 1-31,text,true,,293,182,86,86,http://localhost:8080/character/5,165,0,0
1742164847016,168,DELETE Request delete,404,Not Found,Thread Group 100 1-37,text,false,,273,182,86,86,http://localhost:8080/character/4,168,0,0
1742164846998,186,GET  Request/character/id,404,Not Found,Thread Group 100 1-65,text,false,,273,128,86,86,http://localhost:8080/character/8,186,0,0
1742164845756,1430,GET Request/characters ,200,OK,Thread Group 100 1-67,text,true,,2041,127,86,86,http://localhost:8080/characters,1430,0,1
1742164845767,1423,GET Request/characters ,200,OK,Thread Group 100 1-68,text,true,,2041,127,86,86,http://localhost:8080/characters,1423,0,1
1742164845775,1417,GET Request/characters ,200,OK,Thread Group 100 1-69,text,true,,2041,127,86,86,http://localhost:8080/characters,1417,0,0
1742164845787,1406,GET Request/characters ,200,OK,Thread Group 100 1-70,text,true,,2041,127,86,86,http://localhost:8080/characters,1406,0,0
1742164845816,1380,GET Request/characters ,200,OK,Thread Group 100 1-72,text,true,,2041,127,86,86,http://localhost:8080/characters,1380,0,1
1742164845820,1380,GET Request/characters ,200,OK,Thread Group 100 1-73,text,true,,2041,127,86,86,http://localhost:8080/characters,1380,0,1
1742164845804,1396,GET Request/characters ,200,OK,Thread Group 100 1-71,text,true,,2041,127,86,86,http://localhost:8080/characters,1396,0,3
1742164845837,1364,GET Request/characters ,200,OK,Thread Group 100 1-75,text,true,,2041,127,86,86,http://localhost:8080/characters,1364,0,1
1742164845831,1374,GET Request/characters ,200,OK,Thread Group 100 1-74,text,true,,2041,127,86,86,http://localhost:8080/characters,1374,0,1
1742164845859,1348,GET Request/characters ,200,OK,Thread Group 100 1-77,text,true,,2041,127,86,86,http://localhost:8080/characters,1348,0,2
1742164845938,1269,GET Request/characters ,200,OK,Thread Group 100 1-85,text,true,,2041,127,86,86,http://localhost:8080/characters,1269,0,0
1742164845858,1349,GET Request/characters ,200,OK,Thread Group 100 1-76,text,true,,2041,127,86,86,http://localhost:8080/characters,1349,0,2
1742164845890,1322,GET Request/characters ,200,OK,Thread Group 100 1-80,text,true,,2041,127,86,86,http://localhost:8080/characters,1322,0,1
1742164845873,1339,GET Request/characters ,200,OK,Thread Group 100 1-78,text,true,,2041,127,86,86,http://localhost:8080/characters,1339,0,1
1742164845890,1324,GET Request/characters ,200,OK,Thread Group 100 1-79,text,true,,2041,127,86,86,http://localhost:8080/characters,1324,0,1
1742164845908,1306,GET Request/characters ,200,OK,Thread Group 100 1-82,text,true,,2041,127,86,86,http://localhost:8080/characters,1306,0,1
1742164845919,1298,GET Request/characters ,200,OK,Thread Group 100 1-83,text,true,,2041,127,86,86,http://localhost:8080/characters,1298,0,0
1742164845917,1300,GET Request/characters ,200,OK,Thread Group 100 1-81,text,true,,2041,127,86,86,http://localhost:8080/characters,1300,0,1
1742164845926,1293,GET Request/characters ,200,OK,Thread Group 100 1-84,text,true,,2041,127,86,86,http://localhost:8080/characters,1293,0,0
1742164845967,1255,GET Request/characters ,200,OK,Thread Group 100 1-86,text,true,,2041,127,86,86,http://localhost:8080/characters,1255,0,0
1742164845954,1268,GET Request/characters ,200,OK,Thread Group 100 1-87,text,true,,2041,127,86,86,http://localhost:8080/characters,1268,0,12
1742164845975,1249,GET Request/characters ,200,OK,Thread Group 100 1-88,text,true,,2041,127,86,86,http://localhost:8080/characters,1249,0,0
1742164845989,1237,GET Request/characters ,200,OK,Thread Group 100 1-90,text,true,,2041,127,86,86,http://localhost:8080/characters,1237,0,0
1742164845983,1255,GET Request/characters ,200,OK,Thread Group 100 1-89,text,true,,2041,127,53,53,http://localhost:8080/characters,1255,0,1
1742164845994,1244,GET Request/characters ,200,OK,Thread Group 100 1-91,text,true,,2041,127,53,53,http://localhost:8080/characters,1244,0,1
1742164846006,1233,GET Request/characters ,200,OK,Thread Group 100 1-92,text,true,,2041,127,53,53,http://localhost:8080/characters,1233,0,0
1742164847235,7,DELETE Request delete,404,Not Found,Thread Group 100 1-33,text,false,,273,182,53,53,http://localhost:8080/character/1,7,0,0
1742164847227,18,GET  Request/character/id,404,Not Found,Thread Group 100 1-86,text,false,,273,128,52,52,http://localhost:8080/character/5,18,0,0
1742164847227,18,GET  Request/character/id,404,Not Found,Thread Group 100 1-87,text,false,,273,128,52,52,http://localhost:8080/character/8,18,0,0
1742164847227,31,GET  Request/character/id,404,Not Found,Thread Group 100 1-90,text,false,,273,128,52,52,http://localhost:8080/character/3,31,0,0
1742164847228,30,GET  Request/character/id,404,Not Found,Thread Group 100 1-84,text,false,,273,128,52,52,http://localhost:8080/character/2,30,0,0
1742164847227,31,GET  Request/character/id,404,Not Found,Thread Group 100 1-88,text,false,,273,128,52,52,http://localhost:8080/character/5,31,0,0
1742164847228,41,GET  Request/character/id,404,Not Found,Thread Group 100 1-82,text,false,,273,128,52,52,http://localhost:8080/character/5,41,0,0
1742164847228,41,GET  Request/character/id,404,Not Found,Thread Group 100 1-81,text,false,,273,128,52,52,http://localhost:8080/character/9,41,0,0
1742164847228,44,GET  Request/character/id,404,Not Found,Thread Group 100 1-83,text,false,,273,128,52,52,http://localhost:8080/character/6,44,0,0
1742164847228,53,GET  Request/character/id,404,Not Found,Thread Group 100 1-79,text,false,,273,128,52,52,http://localhost:8080/character/1,53,0,0
1742164847228,53,GET  Request/character/id,404,Not Found,Thread Group 100 1-78,text,false,,273,128,52,52,http://localhost:8080/character/7,53,0,0
1742164847228,56,GET  Request/character/id,404,Not Found,Thread Group 100 1-76,text,false,,273,128,52,52,http://localhost:8080/character/6,56,0,0
1742164847228,60,GET  Request/character/id,404,Not Found,Thread Group 100 1-80,text,false,,273,128,52,52,http://localhost:8080/character/6,60,0,0
1742164847228,65,GET  Request/character/id,404,Not Found,Thread Group 100 1-77,text,false,,273,128,52,52,http://localhost:8080/character/4,65,0,0
1742164847229,68,GET  Request/character/id,404,Not Found,Thread Group 100 1-75,text,false,,273,128,52,52,http://localhost:8080/character/9,68,0,0
1742164847228,75,GET  Request/character/id,404,Not Found,Thread Group 100 1-74,text,false,,273,129,52,52,http://localhost:8080/character/10,75,0,0
1742164847229,101,GET  Request/character/id,404,Not Found,Thread Group 100 1-85,text,false,,273,128,52,52,http://localhost:8080/character/6,101,0,0
1742164847229,101,GET  Request/character/id,404,Not Found,Thread Group 100 1-73,text,false,,273,128,52,52,http://localhost:8080/character/6,101,0,0
1742164847229,105,GET  Request/character/id,404,Not Found,Thread Group 100 1-70,text,false,,273,128,52,52,http://localhost:8080/character/2,105,0,0
1742164847229,107,GET  Request/character/id,404,Not Found,Thread Group 100 1-71,text,false,,273,128,52,52,http://localhost:8080/character/6,107,0,0
1742164847229,109,GET  Request/character/id,404,Not Found,Thread Group 100 1-72,text,false,,273,128,52,52,http://localhost:8080/character/2,109,0,0
1742164847229,114,GET  Request/character/id,404,Not Found,Thread Group 100 1-69,text,false,,273,128,52,52,http://localhost:8080/character/6,114,0,0
1742164847229,116,GET  Request/character/id,404,Not Found,Thread Group 100 1-68,text,false,,273,128,52,52,http://localhost:8080/character/1,116,0,0
1742164847229,122,GET  Request/character/id,404,Not Found,Thread Group 100 1-67,text,false,,273,128,52,52,http://localhost:8080/character/5,122,0,0
1742164847229,124,POST Request//character new,201,Created,Thread Group 100 1-65,text,true,,273,222,52,52,http://localhost:8080/character,124,0,0
1742164847246,116,POST Request//character new,201,Created,Thread Group 100 1-87,text,true,,273,222,52,52,http://localhost:8080/character,116,0,0
1742164847258,104,POST Request//character new,201,Created,Thread Group 100 1-88,text,true,,273,222,52,52,http://localhost:8080/character,104,0,0
1742164847258,104,POST Request//character new,201,Created,Thread Group 100 1-90,text,true,,273,222,52,52,http://localhost:8080/character,104,0,0
1742164847245,117,POST Request//character new,201,Created,Thread Group 100 1-86,text,true,,273,222,52,52,http://localhost:8080/character,117,0,0
1742164847258,106,POST Request//character new,201,Created,Thread Group 100 1-84,text,true,,273,222,52,52,http://localhost:8080/character,106,0,0
1742164847269,107,POST Request//character new,201,Created,Thread Group 100 1-82,text,true,,273,222,52,52,http://localhost:8080/character,107,0,0
1742164847269,115,POST Request//character new,201,Created,Thread Group 100 1-81,text,true,,273,222,52,52,http://localhost:8080/character,115,0,0
1742164847272,112,POST Request//character new,201,Created,Thread Group 100 1-83,text,true,,273,222,52,52,http://localhost:8080/character,112,0,0
1742164847281,103,POST Request//character new,201,Created,Thread Group 100 1-79,text,true,,273,222,52,52,http://localhost:8080/character,103,0,0
1742164847281,106,POST Request//character new,201,Created,Thread Group 100 1-78,text,true,,273,222,52,52,http://localhost:8080/character,106,0,0
1742164847285,104,POST Request//character new,201,Created,Thread Group 100 1-76,text,true,,273,222,52,52,http://localhost:8080/character,103,0,0
1742164847289,101,POST Request//character new,201,Created,Thread Group 100 1-80,text,true,,273,222,52,52,http://localhost:8080/character,101,0,0
1742164847293,98,POST Request//character new,201,Created,Thread Group 100 1-77,text,true,,273,222,52,52,http://localhost:8080/character,98,0,0
1742164847297,96,POST Request//character new,201,Created,Thread Group 100 1-75,text,true,,273,222,52,52,http://localhost:8080/character,96,0,0
1742164847303,91,POST Request//character new,201,Created,Thread Group 100 1-74,text,true,,273,222,52,52,http://localhost:8080/character,91,0,0
1742164847330,67,POST Request//character new,201,Created,Thread Group 100 1-85,text,true,,273,222,52,52,http://localhost:8080/character,67,0,0
1742164847330,70,POST Request//character new,201,Created,Thread Group 100 1-73,text,true,,273,222,52,52,http://localhost:8080/character,70,0,0
1742164847334,67,POST Request//character new,201,Created,Thread Group 100 1-70,text,true,,273,222,52,52,http://localhost:8080/character,67,0,0
1742164847336,67,POST Request//character new,201,Created,Thread Group 100 1-71,text,true,,273,222,52,52,http://localhost:8080/character,67,0,0
1742164847338,67,POST Request//character new,201,Created,Thread Group 100 1-72,text,true,,273,222,52,52,http://localhost:8080/character,67,0,0
1742164847343,63,POST Request//character new,201,Created,Thread Group 100 1-69,text,true,,273,222,52,52,http://localhost:8080/character,63,0,0
1742164847345,62,POST Request//character new,201,Created,Thread Group 100 1-68,text,true,,273,222,52,52,http://localhost:8080/character,62,0,0
1742164847351,58,POST Request//character new,201,Created,Thread Group 100 1-67,text,true,,273,222,52,52,http://localhost:8080/character,58,0,0
1742164847353,58,PUT Request/character/id edit,404,Not Found,Thread Group 100 1-65,text,false,,273,220,52,52,http://localhost:8080/character/5,58,0,0
